"ms_zoning","lot_frontage","lot_area","street","lot_shape","land_contour","lot_config","land_slope","condition_1","bldg_type","house_style","overall_qual","overall_cond","roof_style","exterior_1st","mas_vnr_type","exter_qual","foundation","bsmt_qual","bsmt_cond","bsmt_exposure","bsmt_fin_type_1","bsmt_fin_sf_1","bsmt_fin_type_2","bsmt_fin_sf_2","bsmt_unf_sf","heating_qc","central_air","x1st_flr_sf","x2nd_flr_sf","low_qual_fin_sf","bsmt_full_bath","full_bath","half_bath","bedroom_abv_gr","kitchen_abv_gr","kitchen_qual","tot_rms_abv_grd","functional","fireplaces","fireplace_qu","garage_type","garage_finish","garage_cars","garage_area","paved_drive","wood_deck_sf","open_porch_sf","enclosed_porch","screen_porch","sale_price","longitude","latitude","neighborhood_tier","log_sale_price","effective_year"
"RL",141,31770,1,"IR1","Lvl","Corner",1,"Norm","1Fam","1Story",6,5,"Hip","Other","Stone",3,"CBlock",3,4,4,4,639,1,0,441,2,1,1656,0,0,1,1,0,3,1,3,7,7,2,4,"Attchd",3,2,528,1,210,62,0,0,215000,-93.619754,42.054035,"Mid-Range",12.2783933071098,1960
"RH",80,11622,1,"Reg","Lvl","Inside",1,"Feedr","1Fam","1Story",5,6,"Gable","VinylSd","None",3,"CBlock",3,3,1,3,468,2,144,270,3,1,896,0,0,0,1,0,2,1,3,5,7,0,0,"Attchd",1,1,730,2,140,0,0,120,105000,-93.619756,42.053014,"Mid-Range",11.5617156291397,1961
"RL",81,14267,1,"IR1","Lvl","Corner",1,"Norm","1Fam","1Story",6,6,"Hip","Wd Sdng","BrkFace",3,"CBlock",3,3,1,5,923,1,0,406,3,1,1329,0,0,0,1,1,3,1,4,6,7,0,0,"Attchd",1,1,312,2,393,36,0,0,172000,-93.6193873,42.052659,"Mid-Range",12.0552497557956,1958
"RL",93,11160,1,"Reg","Lvl","Corner",1,"Norm","1Fam","1Story",7,5,"Hip","Other","None",4,"CBlock",3,3,1,5,1065,1,0,1045,5,1,2110,0,0,1,2,1,3,1,5,8,7,2,3,"Attchd",3,2,522,2,0,0,0,0,244000,-93.61732,42.051245,"Mid-Range",12.4049235042753,1968
"RL",74,13830,1,"IR1","Lvl","Inside",1,"Norm","1Fam","2Story",5,5,"Gable","VinylSd","None",3,"PConc",4,3,1,6,791,1,0,137,4,1,928,701,0,0,2,1,3,1,3,6,7,1,3,"Attchd",3,2,482,2,212,34,0,0,189900,-93.638933,42.060899,"Premium",12.1542528968004,1998
"RL",78,9978,1,"IR1","Lvl","Inside",1,"Norm","1Fam","2Story",6,6,"Gable","VinylSd","BrkFace",3,"PConc",3,3,1,6,602,1,0,324,5,1,926,678,0,0,2,1,3,1,4,7,7,1,4,"Attchd",3,2,470,2,360,36,0,0,195500,-93.638925,42.060779,"Premium",12.1833156584076,1998
"RL",41,4920,1,"Reg","Lvl","Inside",1,"Norm","TwnhsE","1Story",8,5,"Gable","Other","None",4,"PConc",4,3,2,6,616,1,0,722,5,1,1338,0,0,1,2,0,2,1,4,6,7,0,0,"Attchd",3,2,582,2,0,0,170,0,213500,-93.633792,42.062978,"Luxury",12.2713921116508,2001
"RL",43,5005,1,"IR1","HLS","Inside",1,"Norm","TwnhsE","1Story",8,5,"Gable","HdBoard","None",4,"PConc",4,3,1,5,263,1,0,1017,5,1,1280,0,0,0,2,0,2,1,4,5,7,0,0,"Attchd",2,2,506,2,0,82,0,144,191500,-93.633826,42.060728,"Luxury",12.1626430876028,1992
"RL",39,5389,1,"IR1","Lvl","Inside",1,"Norm","TwnhsE","1Story",8,5,"Gable","Other","None",4,"PConc",4,3,1,6,1180,1,0,415,5,1,1616,0,0,1,2,0,2,1,4,5,7,1,3,"Attchd",2,2,608,2,237,152,0,0,236500,-93.632852,42.06112,"Luxury",12.3737034869141,1996
"RL",60,7500,1,"Reg","Lvl","Inside",1,"Norm","1Fam","2Story",7,5,"Gable","VinylSd","None",3,"PConc",3,3,1,1,0,1,0,994,4,1,1028,776,0,0,2,1,3,1,4,7,7,1,3,"Attchd",3,2,442,2,140,60,0,0,189000,-93.639068,42.059193,"Premium",12.1495022940418,1999
